Times,Y1_WhiteNoise,Y2_RandomEffects,Y3_STA_Effects,Y4_Stabilizing,Y5_Markov,Y6_Stabilizing+STA,Y7_Stabilizing+SDO,Y8_ARIMA
Trial_001
0,-0.36965695292389,-0.36965695292389,-0.36965695292389,-0.36965695292389,-49,-0.36965695292389,-0.36965695292389,0.683023692063211
0.001,-0.399487912345212,-0.399487912345212,-0.399487912345212,-0.325556521760434,-48,-0.325556521760434,-0.325556521760434,1.24340227476449
0.002,-0.420436551621547,-0.420436551621547,-0.420436551621547,-0.281393856684682,-48,-0.281393856684682,-0.281393856684682,1.19238403869771
0.003,-0.431689086545667,-0.431689086545667,-0.431689086545667,-0.236367620271865,-49,-0.236367620271865,-0.236367620271865,1.44862593958772
0.004,-0.433818088831242,-0.433818088831242,-0.433818088831242,-0.191223098503068,-49,-0.191223098503068,-0.191223098503068,1.09735974322163
0.005,-0.427115027505386,-0.427115027505386,-0.427115027505386,-0.146275417476598,-48,-0.146275417476598,-0.146275417476598,1.10538017144201
0.006,-0.413281436102502,-0.413281436102502,-0.413281436102502,-0.103186742578394,-47,-0.103186742578394,-0.103186742578394,1.23384145029262
0.007,-0.39461221255578,-0.39461221255578,-0.39461221255578,-0.0638801705159935,-45,-0.0638801705159935,-0.0638801705159935,1.33877726887696
0.008,-0.373513275236155,-0.373513275236155,-0.373513275236155,-0.0300051990931701,-45,-0.0300051990931701,-0.0300051990931701,1.04134810345643
0.009,-0.352655056365791,-0.352655056365791,-0.352655056365791,-0.00314594040417203,-44,-0.00314594040417203,-0.00314594040417203,0.442408609670869
0.01,-0.334295829194491,-0.334295829194491,-0.334295829194491,0.0158424748479624,-46,0.0158424748479624,0.0158424748479624,0.433907845457467
0.011,-0.321188892975154,-0.321188892975154,-0.321188892975154,0.0257809160977074,-46,0.0257809160977074,0.0257809160977074,0.81704285528202
0.012,-0.315128853420484,-0.315128853420484,-0.315128853420484,0.0266847724328354,-46,0.0266847724328354,0.0266847724328354,0.898167361641395
0.013,-0.317003491851242,-0.317003491851242,-0.317003491851242,0.0194731795155101,-47,0.0194731795155101,0.0194731795155101,0.80783861555115
0.014,-0.326901970407281,-0.326901970407281,-0.326901970407281,0.00568006505636934,-47,0.00568006505636934,0.00568006505636934,1.27409446369944
0.015,-0.343817476796976,-0.343817476796976,-0.343817476796976,-0.0123714543445992,-47,-0.0123714543445992,-0.0123714543445992,1.20787703608282
0.016,-0.366866983829709,-0.366866983829709,-0.366866983829709,-0.0329466705084131,-46,-0.0329466705084131,-0.0329466705084131,1.10341443409975
0.017,-0.392915448205267,-0.392915448205267,-0.392915448205267,-0.0524058007822878,-48,-0.0524058007822878,-0.0524058007822878,0.715755318023129
0.018,-0.419442897132778,-0.419442897132778,-0.419442897132778,-0.0684520895533411,-48,-0.0684520895533411,-0.0684520895533411,0.0417379830690194
0.019,-0.44373253975874,-0.44373253975874,-0.44373253975874,-0.0790513142686355,-47,-0.0790513142686355,-0.0790513142686355,-0.4776368380953
0.02,-0.462791854617021,-0.462791854617021,-0.462791854617021,-0.0823003662731887,-47,-0.0823003662731887,-0.0823003662731887,-0.527355502130233
0.021,-0.474372188607058,-0.474372188607058,-0.474372188607058,-0.0774206270085886,-47,-0.0774206270085886,-0.0774206270085886,-0.23761669313288
0.022,-0.476585955166991,-0.476585955166991,-0.476585955166991,-0.0641502681668033,-47,-0.0641502681668033,-0.0641502681668033,-0.443673123750701
0.023,-0.468680110701976,-0.468680110701976,-0.468680110701976,-0.0434143700684278,-48,-0.0434143700684278,-0.0434143700684278,-0.694985080652696
0.024,-0.450228216665572,-0.450228216665572,-0.450228216665572,-0.0162796020183388,-49,-0.0162796020183388,-0.0162796020183388,-0.547051518602023
0.025,-0.422435438001792,-0.422435438001792,-0.422435438001792,0.0147690970491098,-49,0.0147690970491098,0.0147690970491098,-0.500521514534126
0.026,-0.386385655273639,-0.386385655273639,-0.386385655273639,0.04786506036744,-48,0.04786506036744,0.04786506036744,-0.44705360588731
0.027,-0.344700665051259,-0.344700665051259,-0.344700665051259,0.0799770385163322,-48,0.0799770385163322,0.0799770385163322,-0.0976977704137632
0.028,-0.299512296022674,-0.299512296022674,-0.299512296022674,0.109169999841651,-48,0.109169999841651,0.109169999841651,0.0941386956353263
0.029,-0.253448640509948,-0.253448640509948,-0.253448640509948,0.133399655386046,-48,0.133399655386046,0.133399655386046,0.434437539162149
0.03,-0.20939057509261,-0.20939057509261,-0.20939057509261,0.150777789726175,-48,0.150777789726175,0.150777789726175,0.768605775485808
0.031,-0.169055531952849,-0.169055531952849,-0.169055531952849,0.160957274920701,-47,0.160957274920701,0.160957274920701,0.420934126724694
0.032,-0.134502980381378,-0.134502980381378,-0.134502980381378,0.163318371508032,-48,0.163318371508032,0.163318371508032,0.212172433994189
0.033,-0.106490992885755,-0.106490992885755,-0.106490992885755,0.158666684702048,-46,0.158666684702048,0.158666684702048,0.36637430768312
0.034,-0.08596495535867,-0.08596495535867,-0.08596495535867,0.147459385288724,-45,0.147459385288724,0.147459385288724,0.201584080894582
0.035,-0.0730895690437568,-0.0730895690437568,-0.0730895690437568,0.130842894545892,-46,0.130842894545892,0.130842894545892,-0.0668948433385168
0.036,-0.066653618302831,-0.066653618302831,-0.066653618302831,0.11111026637764,-45,0.11111026637764,0.11111026637764,-0.128789734285521
0.037,-0.0659813480883582,-0.0659813480883582,-0.0659813480883582,0.0895604833165846,-45,0.0895604833165846,0.0895604833165846,-0.263899036186778
0.038,-0.069388630241105,-0.069388630241105,-0.069388630241105,0.0682411045005208,-45,0.0682411045005208,0.0682411045005208,-0.357914345472267
0.039,-0.0756324259830859,-0.0756324259830859,-0.0756324259830859,0.0483490878584358,-47,0.0483490878584358,0.0483490878584358,-0.145569718126159
0.04,-0.0838213715410308,-0.0838213715410308,-0.0838213715410308,0.0304903247288037,-45,0.0304903247288037,0.0304903247288037,0.278018470312704
0.041,-0.0919204068909395,-0.0919204068909395,-0.0919204068909395,0.0162932244331343,-45,0.0162932244331343,0.0162932244331343,-0.00240719817496249
0.042,-0.0991204731628629,-0.0991204731628629,-0.0991204731628629,0.00583451327458399,-45,0.00583451327458399,0.00583451327458399,-0.331732975883835
0.043,-0.103888933380599,-0.103888933380599,-0.103888933380599,-0.000100849598069015,-46,-0.000100849598069015,-0.000100849598069015,-0.0690276970388553
0.044,-0.105396103602311,-0.105396103602311,-0.105396103602311,-0.00158784990016749,-47,-0.00158784990016749,-0.00158784990016749,-0.00387766214682195
0.045,-0.102814246610953,-0.102814246610953,-0.102814246610953,0.0013115770712241,-48,0.0013115770712241,0.0013115770712241,0.100519856868161
0.046,-0.09593343168099,-0.09593343168099,-0.09593343168099,0.00793007658694265,-48,0.00793007658694265,0.00793007658694265,0.0631360083226635
0.047,-0.0838818601245065,-0.0838818601245065,-0.0838818601245065,0.0183956328260376,-47,0.0183956328260376,0.0183956328260376,-0.0335534237409476
0.048,-0.0671715779493149,-0.0671715779493149,-0.0671715779493149,0.0314267884360217,-46,0.0314267884360217,0.0314267884360217,0.171565881615106
0.049,-0.0443226010561149,-0.0443226010561149,-0.0443226010561149,0.0479904076420174,-47,0.0479904076420174,0.0479904076420174,0.674149941423908
0.05,-0.0155983823056529,-0.0155983823056529,-0.0155983823056529,0.0671165448640758,-46,0.0671165448640758,0.0671165448640758,0.3359772011926
