XT_Channel_1,XT_Channel_2,XT_Channel_3,XT_Channel_4,XT_Channel_5,XT_Channel_6,XT_Channel_7,XT_Channel_8,XT_Channel_9,XT_Channel_10
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.00044,0.00033,-0.00065,-0.00097,-0.00062,-0.00023,-0.00025,-0.00108,0.00010,0.00087
-0.00093,0.00036,-0.00090,-0.00284,-0.00004,-0.00208,-0.00089,-0.00067,-0.00010,-0.00068
-0.00137,0.00074,-0.00128,-0.00115,-0.00111,-0.00112,-0.00080,-0.00038,0.00068,-0.00328
-0.00247,0.00123,-0.00199,-0.00122,0.00003,-0.00272,-0.00092,0.00041,0.00061,-0.00151
-0.00316,0.00153,-0.00286,0.00038,-0.00035,-0.00111,-0.00182,0.00112,0.00245,-0.00360
-0.00423,0.00154,-0.00172,0.00130,-0.00160,-0.00192,-0.00174,0.00049,0.00236,-0.00183
-0.00535,0.00062,-0.00255,0.00201,-0.00084,-0.00349,-0.00202,0.00078,0.00183,-0.00352
-0.00412,0.00082,-0.00221,0.00390,0.00035,-0.00219,-0.00151,0.00098,0.00148,-0.00224
-0.00545,0.00014,-0.00323,0.00241,0.00035,-0.00241,-0.00231,0.00016,0.00176,-0.00333
-0.00554,0.00017,-0.00326,0.00384,0.00077,-0.00105,-0.00166,-0.00013,0.00055,-0.00035
-0.00461,0.00065,-0.00381,0.00201,0.00131,-0.00227,-0.00220,-0.00017,0.00155,0.00133
-0.00390,0.00052,-0.00305,0.00180,-0.00036,-0.00065,-0.00138,-0.00061,0.00336,0.00032
-0.00447,0.00070,-0.00364,0.00334,0.00146,-0.00112,-0.00109,-0.00143,0.00354,0.00277
-0.00484,0.00014,-0.00347,0.00305,0.00319,-0.00247,-0.00029,-0.00041,0.00190,0.00423
-0.00356,0.00036,-0.00287,0.00318,0.00508,-0.00282,-0.00088,-0.00140,0.00309,0.00570
-0.00485,0.00122,-0.00356,0.00233,0.00577,-0.00253,-0.00006,-0.00062,0.00252,0.00361
-0.00594,0.00053,-0.00433,0.00377,0.00491,-0.00207,-0.00042,-0.00048,0.00267,0.00461
-0.00607,0.00065,-0.00341,0.00227,0.00388,-0.00024,0.00009,-0.00059,0.00131,0.00179
-0.00512,0.00029,-0.00234,0.00176,0.00263,-0.00197,-0.00044,-0.00006,0.00216,0.00104
-0.00386,0.00035,-0.00289,0.00336,0.00211,-0.00236,0.00033,0.00078,0.00128,0.00192
-0.00351,0.00123,-0.00181,0.00379,0.00115,-0.00093,0.00045,0.00096,0.00096,-0.00029
-0.00284,0.00032,-0.00075,0.00247,0.00196,-0.00281,0.00115,0.00193,0.00093,0.00232
-0.00190,-0.00023,-0.00139,0.00405,0.00286,-0.00471,0.00099,0.00220,0.00035,0.00429
-0.00196,-0.00003,-0.00130,0.00253,0.00403,-0.00658,0.00152,0.00234,0.00093,0.00720
-0.00117,-0.00013,-0.00194,0.00113,0.00495,-0.00628,0.00126,0.00293,0.00255,0.00513
-0.00102,-0.00038,-0.00257,0.00054,0.00410,-0.00495,0.00139,0.00390,0.00082,0.00244
