Times,XT_Channel_1,XT_Channel_2,XT_Channel_3,XT_Channel_4,XT_Channel_5,XT_Channel_6,XT_Channel_7,XT_Channel_8,XT_Channel_9,XT_Channel_10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0005,-0.00093,0.00083,-0.0006,-0.00062,-0.00011,-0.00119,0.00057,0.00034,0.00102,0.00037
0.001,-0.0025,-0.00018,-0.00013,-0.00031,-0.00072,-0.00076,0.00077,-0.00036,0.0025,0.00057
0.0015,-0.00028,-0.00121,-0.0007,8e-05,0.00039,-0.0004,0.00076,0.0003,0.00418,0.00052
0.002,-0.00276,-0.00139,-0.00057,0.00062,0.00123,0.00191,0.00105,0.00022,0.00345,-0.00038
0.0025,-0.00187,-0.00201,-0.00039,0.00122,6e-05,0.00323,0.00172,-0.00037,0.00222,0.00071
0.003,-9e-05,-0.00219,8e-05,0.0021,-0.00109,0.00346,0.0013,0.00026,0.00169,0.00133
0.0035,0.00068,-0.00185,-0.00012,0.00245,-0.002,0.00141,0.00112,-0.00036,0.00187,0.0021
0.004,0.00037,-0.00101,-0.00085,0.00273,-0.00315,0.00181,0.00115,-0.00103,0.00262,0.00133
0.0045,-0.00078,-0.00078,-0.00032,0.00256,-0.00208,0.00075,0.00082,-0.00051,0.00169,0.00245
0.005,-0.00089,0.00027,-0.00087,0.00225,-0.00106,0.00116,0.00113,-0.0006,0.00353,0.00169
0.0055,0.0002,-6e-05,-0.00147,0.0014,0.00022,0.00192,0.0017,-0.00025,0.00522,0.0009
0.006,-0.00058,-5e-05,-0.00104,0.00126,0.00128,0.00121,0.00146,0.00039,0.00703,-0.00033
0.0065,0.00056,0.00026,-0.00108,0.00108,0.00118,-0.00075,0.00079,0.00078,0.00525,-0.00066
0.007,-0.00058,0.00053,-0.00037,0.00073,0.0002,5e-05,0.00051,0.00105,0.00607,-0.00111
0.0075,-0.00104,0.00129,-0.00018,-5e-05,-0.00084,-0.00132,0.00064,0.00118,0.00567,-0.00215
0.008,-0.00358,0.0005,-0.00017,-0.00062,-0.00124,1e-05,0.00016,0.00175,0.00656,-0.00178
0.0085,-0.00466,0.00105,-0.0006,7e-05,-0.00139,0.00095,-0.00047,0.00185,0.00744,-0.00079
0.009,-0.00425,0.00164,-0.00052,-0.00097,-0.0011,-0.00044,-0.00043,0.00185,0.00733,-0.00194
0.0095,-0.00433,0.00173,-0.00012,-0.00126,-0.00096,0.00161,-0.00074,0.00157,0.00678,-0.00219
0.01,-0.00421,0.0008,0.00027,-0.00177,-0.00143,0.00161,-0.00123,0.00088,0.00685,-0.00333
0.0105,-0.00293,0.0004,0.00054,-0.00214,-0.00238,0.0007,-0.00064,0.00061,0.00672,-0.00233
0.011,-0.00125,-0.00033,0.0001,-0.00192,-0.00311,-0.00044,-0.00086,0.00063,0.00845,-0.0034
0.0115,-0.00089,-0.0003,-0.00029,-0.00091,-0.00352,-0.00257,-0.00048,0.00122,0.00889,-0.00341
0.012,-0.00179,0.00028,0.00017,-0.00085,-0.00481,-0.00393,-0.00061,0.00108,0.008,-0.00411
0.0125,0.00042,-0.00031,0.00075,5e-05,-0.00539,-0.00255,-0.00028,0.00051,0.00973,-0.00512
